ID,Start_Time,Start_Lat,Start_Lng,City,State,Temperature(F),Year,Month,Hour,Day_of_Week
A-7182628,2020-04-17 09:29:30,26.7069,-80.11936,West Palm Beach,FL,78.0,2020,4,9,Friday
A-156000,2016-08-12 16:45:00,33.985249,-84.269348,Alpharetta,GA,91.0,2016,8,16,Friday
A-1871277,2019-09-20 15:22:16,47.118706,-122.556908,Tacoma,WA,67.0,2019,9,15,Friday
A-2031222,2019-06-03 16:55:43,33.451355,-111.890343,Scottsdale,AZ,95.0,2019,6,16,Monday
A-1167415,2021-02-04 12:48:21,42.44891,-93.721138,Webster City,IA,19.0,2021,2,12,Thursday
A-4021880,2022-06-23 10:57:30,38.858169,-77.219815,Falls Church,VA,68.0,2022,6,10,Thursday
A-1314019,2020-09-25 16:48:29,32.434292,-82.50071,Soperton,GA,79.0,2020,9,16,Friday
A-721069,2022-02-04 19:57:43,39.10696,-76.939789,Burtonsville,MD,36.0,2022,2,19,Friday
A-7221635,2020-01-14 00:41:00,45.5116,-92.99298,North Branch,MN,26.0,2020,1,0,Tuesday
A-2964547,2018-03-23 07:43:01,40.360512,-79.907692,West Mifflin,PA,26.1,2018,3,7,Friday
A-4978332,2022-04-27 15:47:00,32.991182,-117.210233,Rancho Santa Fe,CA,61.0,2022,4,15,Wednesday
A-5188099,2022-08-21 06:40:30,30.209486,-89.795661,New Orleans,LA,81.0,2022,8,6,Sunday
A-2577472,2018-09-11 08:16:17,35.975361,-86.645889,Nolensville,TN,64.9,2018,9,8,Tuesday
A-4636068,2022-03-22 08:11:25,38.42450022679128,-77.4196779724244,Stafford,VA,44.0,2022,3,8,Tuesday
A-640922,2022-04-22 12:48:26,35.34877,-97.529953,Oklahoma City,OK,74.0,2022,4,12,Friday
A-513526,2022-09-07 17:47:35,42.561768,-71.29819499999998,North Billerica,MA,71.0,2022,9,17,Wednesday
A-787339,2021-12-08 05:01:58,35.237194,-80.854927,Charlotte,NC,40.0,2021,12,5,Wednesday
A-6051707,2021-10-09 15:52:04,42.741664,-73.652872,Troy,NY,67.0,2021,10,15,Saturday
A-667963,2022-03-22 18:51:15,33.790718,-78.99678,Conway,SC,64.0,2022,3,18,Tuesday
A-7704632,2019-04-06 07:16:01,44.062361,-123.049585,Springfield,OR,48.0,2019,4,7,Saturday
A-189470,2016-10-18 17:38:19,42.973778,-83.712906,Flint,MI,70.0,2016,10,17,Tuesday
A-5876530,2021-05-26 07:00:00,26.625007,-81.715533,Lehigh Acres,FL,64.0,2021,5,7,Wednesday
A-7486092,2018-12-18 01:24:42,44.16056,-121.25876,Bend,OR,,2018,12,1,Tuesday
A-2316959,2019-01-04 13:38:05,40.427761,-79.891373,Pittsburgh,PA,39.0,2019,1,13,Friday
A-7307294,2019-12-10 07:34:34,28.17606,-82.39201,Wesley Chapel,FL,59.0,2019,12,7,Tuesday
A-2490901,2018-10-01 04:34:17,35.761417,-119.238922,Delano,CA,57.9,2018,10,4,Monday
A-4590165,2022-10-14 22:27:17,40.846059,-73.930479,New York,NY,59.0,2022,10,22,Friday
A-5623799,2021-11-10 22:33:19,37.871369,-75.558504,Hallwood,VA,51.0,2021,11,22,Wednesday
A-7528000,2018-10-30 16:24:01,34.33692,-117.25912,Hesperia,CA,,2018,10,16,Tuesday
A-3116516,2017-12-08 16:00:56,41.751995,-87.96725500000002,Darien,IL,34.0,2017,12,16,Friday
A-378128,2017-02-16 17:50:07,38.802006,-77.163635,Alexandria,VA,37.0,2017,2,17,Thursday
A-2483463,2018-11-27 07:32:44,31.776508000000003,-106.225082,El Paso,TX,37.9,2018,11,7,Tuesday
A-2431240,2018-11-04 22:41:28,25.98505,-80.16546600000002,Hallandale,FL,80.1,2018,11,22,Sunday
A-309036,2016-10-26 12:46:56,47.635887,-122.228004,Bellevue,WA,55.9,2016,10,12,Wednesday
A-4856900,2022-10-15 11:28:00,34.44978833,-118.42359424,Canyon Country,CA,70.0,2022,10,11,Saturday
A-6200394,2021-09-26 15:17:30,38.913531,-76.850453,Upper Marlboro,MD,73.0,2021,9,15,Sunday
A-4708908,2022-02-27 18:32:30,34.076692,-118.219389,Los Angeles,CA,62.0,2022,2,18,Sunday
A-6665540,2020-10-29 23:17:48,42.935804,-78.904033,Buffalo,NY,41.0,2020,10,23,Thursday
A-7551224,2018-08-23 00:00:24,25.73778,-80.38459,Miami,FL,79.0,2018,8,0,Thursday
A-2229056,2019-03-20 08:10:59,39.095516,-94.648064,Kansas City,KS,,2019,3,8,Wednesday
A-6251839,2021-03-29 07:40:50,28.449911,-81.480513,Orlando,FL,70.0,2021,3,7,Monday
A-6358024,2021-02-08 23:52:00,27.098573,-82.38450300000002,Venice,FL,69.0,2021,2,23,Monday
A-4433896,2023-01-25 14:35:00,28.467188,-80.801384,Cocoa,FL,88.0,2023,1,14,Wednesday
A-338021,2017-02-24 06:29:28,37.44928,-122.123245,Palo Alto,CA,39.2,2017,2,6,Friday
A-775424,2021-12-16 21:29:07,34.153255,-118.6521,Calabasas,CA,51.0,2021,12,21,Thursday
A-5316151,2023-02-05 21:10:30,41.387154,-73.497075,Danbury,CT,38.0,2023,2,21,Sunday
A-5495882,2021-05-29 23:49:40,34.061732,-81.173354,Columbia,SC,69.0,2021,5,23,Saturday
A-6062090,2021-11-27 15:20:55,33.913326,-84.286528,Atlanta,GA,60.0,2021,11,15,Saturday
A-140961,2016-09-08 11:33:18,28.465607,-81.27565799999998,Orlando,FL,84.9,2016,9,11,Thursday
A-290837,2016-10-13 21:44:20,29.653435,-95.445572,Houston,TX,77.0,2016,10,21,Thursday
A-2977576,2018-03-29 03:16:00,33.770603,-117.985657,Garden Grove,CA,51.8,2018,3,3,Thursday
